Image,Prediction_for_spring,Prediction_for_summer,Prediction_for_autumn,Prediction_for_winter
/mnt/lake/VBags/140106/frame0127.jpg,0.0009537,0.001064,1.93e-05,0.998
/mnt/lake/VBags/140106/frame0008.jpg,0.01321,0.00119,0.00010085,0.9854
/mnt/lake/VBags/140106/frame0038.jpg,0.0255,0.002335,0.000546,0.9717
/mnt/lake/VBags/140106/frame0018.jpg,0.02094,0.001338,0.0001701,0.9775
/mnt/lake/VBags/140106/frame0034.jpg,0.0259,0.001997,0.0003524,0.9717
/mnt/lake/VBags/140106/frame0035.jpg,0.02365,0.00166,0.0001723,0.9746
/mnt/lake/VBags/140106/frame0128.jpg,0.002928,0.00221,0.0002089,0.9946
/mnt/lake/VBags/140106/frame0009.jpg,0.008705,0.0007257,8.4e-05,0.9907
/mnt/lake/VBags/140106/frame0013.jpg,0.002148,0.0004573,6.187e-05,0.9976
/mnt/lake/VBags/140106/frame0036.jpg,0.00734,0.000933,9.24e-05,0.9917
/mnt/lake/VBags/140106/frame0161.jpg,0.0003622,0.001048,7e-06,0.9985
/mnt/lake/VBags/140106/frame0276.jpg,0.0006666,0.0002303,1.67e-05,0.999
/mnt/lake/VBags/140106/frame0368.jpg,0.0005493,0.006485,2.164e-05,0.993
/mnt/lake/VBags/140106/frame0285.jpg,0.001699,0.0005875,4.82e-05,0.9976
/mnt/lake/VBags/140106/frame0317.jpg,0.000253,0.0009546,1.18e-05,0.999
/mnt/lake/VBags/140106/frame0330.jpg,0.000709,0.000656,2.277e-05,0.9985
/mnt/lake/VBags/140106/frame0371.jpg,0.001027,0.005135,2.38e-05,0.9937
/mnt/lake/VBags/140106/frame0338.jpg,0.00103,0.002548,8.86e-05,0.996
/mnt/lake/VBags/140106/frame0294.jpg,0.003113,0.003366,1.15e-05,0.9937
/mnt/lake/VBags/140106/frame0301.jpg,0.0004036,0.00205,8.5e-06,0.9976
/mnt/lake/VBags/140106/frame0259.jpg,0.5996,0.001879,0.02342,0.3752
/mnt/lake/VBags/140106/frame0349.jpg,0.001375,0.0402,4.93e-05,0.9585
/mnt/lake/VBags/140106/frame0325.jpg,0.002829,0.02122,0.0001149,0.976
/mnt/lake/VBags/140106/frame0358.jpg,0.003387,0.01201,0.00010556,0.9844
/mnt/lake/VBags/140106/frame0321.jpg,0.002563,0.0259,0.0001218,0.971
/mnt/lake/VBags/140106/frame0360.jpg,0.001102,0.01204,3.89e-05,0.987
/mnt/lake/VBags/140106/frame0350.jpg,0.001028,0.004395,1.77e-05,0.9946
/mnt/lake/VBags/140106/frame0385.jpg,0.001472,0.003532,5.037e-05,0.995
/mnt/lake/VBags/140106/frame0327.jpg,0.01156,0.02565,0.0003603,0.9624
/mnt/lake/VBags/140106/frame0322.jpg,0.000988,0.01223,6.217e-05,0.987
/mnt/lake/VBags/140106/frame0081.jpg,0.0008287,0.001187,1.24e-05,0.998
/mnt/lake/VBags/140106/frame0076.jpg,0.0002127,0.00225,9.66e-06,0.9976
/mnt/lake/VBags/140106/frame0156.jpg,0.002546,0.001892,1.02e-05,0.9956
/mnt/lake/VBags/140106/frame0273.jpg,0.002245,0.003265,2.086e-05,0.9946
/mnt/lake/VBags/140106/frame0079.jpg,0.0003295,0.001781,9.2e-06,0.998
/mnt/lake/VBags/140106/frame0155.jpg,0.001063,0.00115,1.013e-05,0.9976
/mnt/lake/VBags/140106/frame0141.jpg,0.000743,0.000743,1.043e-05,0.9985
/mnt/lake/VBags/140106/frame0154.jpg,0.001361,0.004128,9.3e-06,0.9946
/mnt/lake/VBags/140106/frame0084.jpg,0.001389,0.0002608,9.66e-06,0.9985
/mnt/lake/VBags/140106/frame0113.jpg,0.001032,0.01588,1.997e-05,0.983
/mnt/lake/VBags/140117/frame0055.jpg,0.0891,0.00896,0.002129,0.9
/mnt/lake/VBags/140117/frame0061.jpg,0.00232,0.0014515,0.0001965,0.996
/mnt/lake/VBags/140117/frame0035.jpg,0.003218,0.001406,5.12e-05,0.995
/mnt/lake/VBags/140117/frame0000.jpg,0.02054,0.004803,0.0005918,0.974
/mnt/lake/VBags/140117/frame0086.jpg,0.005634,0.01682,0.0001675,0.9775
/mnt/lake/VBags/140117/frame0058.jpg,0.01765,0.002928,0.0003781,0.979
/mnt/lake/VBags/140117/frame0243.jpg,0.14,0.04074,0.001094,0.8184
/mnt/lake/VBags/140117/frame0183.jpg,0.05365,0.00903,0.001282,0.936
/mnt/lake/VBags/140117/frame0073.jpg,0.02397,0.002775,0.000591,0.9727
/mnt/lake/VBags/140117/frame0333.jpg,0.002079,0.002047,0.00010186,0.9956
/mnt/lake/VBags/140117/frame0018.jpg,0.001405,0.00394,2.533e-05,0.9946
/mnt/lake/VBags/140117/frame0318.jpg,0.0004408,0.007812,3.73e-05,0.9917
/mnt/lake/VBags/140117/frame0369.jpg,0.001014,0.002394,3.576e-05,0.9966
/mnt/lake/VBags/140117/frame0360.jpg,0.0008545,0.001726,2.04e-05,0.9976
/mnt/lake/VBags/140117/frame0266.jpg,0.0049,0.0005007,0.0001842,0.9946
/mnt/lake/VBags/140117/frame0336.jpg,0.00326,0.003637,0.0003383,0.9927
/mnt/lake/VBags/140117/frame0372.jpg,0.0009227,0.003073,0.0001085,0.996
/mnt/lake/VBags/140117/frame0316.jpg,0.0010605,0.00382,5.364e-05,0.995
/mnt/lake/VBags/140117/frame0368.jpg,0.001921,0.003267,7.93e-05,0.9946
/mnt/lake/VBags/140117/frame0315.jpg,0.002144,0.002392,0.0002056,0.995
/mnt/lake/VBags/140117/frame0334.jpg,0.003998,0.00262,0.0001065,0.993
/mnt/lake/VBags/140117/frame0364.jpg,0.00888,0.0265,0.000442,0.9644
/mnt/lake/VBags/140117/frame0280.jpg,0.0599,0.002115,0.000676,0.9375
/mnt/lake/VBags/140117/frame0291.jpg,0.002884,0.001804,0.0001267,0.995
/mnt/lake/VBags/140117/frame0215.jpg,0.00665,0.00625,0.0002311,0.987
/mnt/lake/VBags/140117/frame0335.jpg,0.003218,0.001147,0.0001414,0.9956
/mnt/lake/VBags/140117/frame0226.jpg,0.264,0.00423,0.003563,0.7285
/mnt/lake/VBags/140117/frame0343.jpg,0.005173,0.02393,0.0003688,0.9707
/mnt/lake/VBags/140117/frame0277.jpg,0.0718,0.010506,0.000904,0.917
/mnt/lake/VBags/140117/frame0005.jpg,0.00985,0.0006704,0.0001951,0.9893
/mnt/lake/VBags/140117/frame0003.jpg,0.014915,0.002361,0.0002587,0.9824
/mnt/lake/VBags/140117/frame0087.jpg,0.003149,0.00721,6.14e-05,0.9897
/mnt/lake/VBags/140117/frame0059.jpg,0.00438,0.00418,0.0003028,0.991
/mnt/lake/VBags/140117/frame0012.jpg,0.00332,0.000998,4.965e-05,0.9956
/mnt/lake/VBags/140117/frame0020.jpg,0.0008965,0.0007787,1.72e-05,0.9985
/mnt/lake/VBags/140117/frame0275.jpg,0.00505,0.001639,0.0002185,0.993
/mnt/lake/VBags/140117/frame0116.jpg,0.002249,0.001619,3.69e-05,0.996
/mnt/lake/VBags/140117/frame0050.jpg,0.001982,0.002884,7e-05,0.995
/mnt/lake/VBags/140117/frame0131.jpg,0.01296,0.003893,0.0003593,0.983
/mnt/lake/VBags/140117/frame0251.jpg,0.02928,0.000898,0.0004048,0.969
/mnt/lake/VBags/140122/frame0300.jpg,0.002321,0.0006347,0.0002193,0.9966
/mnt/lake/VBags/140122/frame0220.jpg,0.3057,0.001965,0.003643,0.689
/mnt/lake/VBags/140122/frame0279.jpg,0.002354,0.002504,0.0001002,0.995
/mnt/lake/VBags/140122/frame0281.jpg,0.003187,0.01078,0.00010735,0.986
/mnt/lake/VBags/140122/frame0297.jpg,0.001282,0.001452,0.0002409,0.997
/mnt/lake/VBags/140122/frame0303.jpg,0.000676,0.001673,0.0001485,0.9976
/mnt/lake/VBags/140122/frame0312.jpg,0.00342,0.002707,4.584e-05,0.9937
/mnt/lake/VBags/140122/frame0298.jpg,0.0008416,0.001244,0.0001193,0.9976
/mnt/lake/VBags/140122/frame0204.jpg,0.06647,0.000905,0.0003715,0.932
/mnt/lake/VBags/140122/frame0307.jpg,0.0002778,0.001187,2.974e-05,0.9985
/mnt/lake/VBags/140122/frame0282.jpg,0.0009527,0.00218,6.187e-05,0.9966
/mnt/lake/VBags/140122/frame0285.jpg,0.001492,0.00658,5.263e-05,0.9917
/mnt/lake/VBags/140122/frame0306.jpg,0.0003004,0.0004373,3.29e-05,0.999
/mnt/lake/VBags/140122/frame0290.jpg,0.001641,0.0351,5.275e-05,0.9634
/mnt/lake/VBags/140122/frame0305.jpg,0.0002651,0.000636,6.6e-05,0.999
/mnt/lake/VBags/140122/frame0258.jpg,0.001297,0.005997,5.97e-05,0.9927
/mnt/lake/VBags/140122/frame0091.jpg,0.001026,0.00555,7.32e-05,0.993
/mnt/lake/VBags/140122/frame0294.jpg,0.009094,0.003143,5.04e-05,0.988
/mnt/lake/VBags/140122/frame0264.jpg,0.001832,0.0037,6.17e-05,0.9946
/mnt/lake/VBags/140122/frame0141.jpg,0.003357,0.005623,4.57e-05,0.991
/mnt/lake/VBags/140122/frame0302.jpg,0.000234,0.0006876,5.734e-05,0.999
/mnt/lake/VBags/140122/frame0301.jpg,0.0002692,0.0007915,6.396e-05,0.999
/mnt/lake/VBags/140122/frame0299.jpg,0.0004652,0.0009108,8.47e-05,0.9985
/mnt/lake/VBags/140122/frame0259.jpg,0.1333,0.02246,0.001338,0.843
/mnt/lake/VBags/140122/frame0077.jpg,0.003633,0.00445,5.69e-05,0.9917
/mnt/lake/VBags/140122/frame0181.jpg,0.0988,0.04596,0.001622,0.8535
/mnt/lake/VBags/140122/frame0288.jpg,0.002956,0.00803,0.0001668,0.989
/mnt/lake/VBags/140122/frame0283.jpg,0.002428,0.0174,0.0002856,0.98
/mnt/lake/VBags/140122/frame0304.jpg,0.000487,0.0015,7.707e-05,0.998
/mnt/lake/VBags/140122/frame0286.jpg,0.00916,0.0265,0.0002441,0.964
/mnt/lake/VBags/140122/frame0051.jpg,0.0002034,0.0004954,6.3e-06,0.9995
/mnt/lake/VBags/140122/frame0308.jpg,0.001165,0.003218,7e-05,0.9956
/mnt/lake/VBags/140122/frame0296.jpg,0.0006757,0.002285,9.584e-05,0.997
/mnt/lake/VBags/140122/frame0063.jpg,0.001146,0.02,1.97e-05,0.979
/mnt/lake/VBags/140122/frame0263.jpg,0.006767,0.00465,6.68e-05,0.9883
/mnt/lake/VBags/140122/frame0315.jpg,0.0006347,0.002432,1.043e-05,0.997
/mnt/lake/VBags/140122/frame0061.jpg,0.001354,0.009254,4.494e-05,0.9893
/mnt/lake/VBags/140122/frame0260.jpg,0.002787,0.005207,4.23e-05,0.992
/mnt/lake/VBags/140122/frame0273.jpg,0.001366,0.001263,1.95e-05,0.9976
/mnt/lake/VBags/140122/frame0180.jpg,0.00405,0.01964,0.000115,0.976
/mnt/lake/VBags/140129/frame0077.jpg,0.0008163,0.0004652,0.00010544,0.9985
/mnt/lake/VBags/140129/frame0365.jpg,0.00636,0.004723,0.000124,0.989
/mnt/lake/VBags/140129/frame0076.jpg,0.0006876,0.0005436,3.82e-05,0.9985
/mnt/lake/VBags/140129/frame0016.jpg,0.01097,0.001053,0.0003314,0.988
/mnt/lake/VBags/140129/frame0356.jpg,0.001215,0.00857,9.817e-05,0.99
/mnt/lake/VBags/140129/frame0078.jpg,0.009384,0.00223,0.000659,0.988
/mnt/lake/VBags/140129/frame0075.jpg,0.005135,0.0007997,0.000212,0.9937
/mnt/lake/VBags/140129/frame0079.jpg,0.01819,0.00297,0.001092,0.9775
/mnt/lake/VBags/140129/frame0399.jpg,0.002012,0.002884,3.01e-05,0.995
/mnt/lake/VBags/140129/frame0364.jpg,0.00599,0.001915,0.0002396,0.9917
/mnt/lake/VBags/140129/frame0204.jpg,0.00619,0.0005407,4.58e-05,0.993
/mnt/lake/VBags/140129/frame0085.jpg,0.0003512,0.0004442,1.407e-05,0.999
/mnt/lake/VBags/140129/frame0362.jpg,0.001804,0.002796,0.0001962,0.995
/mnt/lake/VBags/140129/frame0387.jpg,0.000825,0.005463,3.92e-05,0.9937
/mnt/lake/VBags/140129/frame0402.jpg,0.0006914,0.01064,3.606e-05,0.989
/mnt/lake/VBags/140129/frame0354.jpg,0.0003977,0.001284,6.19e-05,0.998
/mnt/lake/VBags/140129/frame0412.jpg,0.001199,0.00609,7.2e-05,0.9927
/mnt/lake/VBags/140129/frame0392.jpg,0.001313,0.00897,5.77e-05,0.9897
/mnt/lake/VBags/140129/frame0416.jpg,0.002106,0.0046,0.0001116,0.993
/mnt/lake/VBags/140129/frame0366.jpg,0.001534,0.008835,0.0001028,0.9897
/mnt/lake/VBags/140129/frame0117.jpg,0.002224,0.012405,5.656e-05,0.9854
/mnt/lake/VBags/140129/frame0395.jpg,0.0008683,0.01665,6e-05,0.9824
/mnt/lake/VBags/140129/frame0334.jpg,0.02425,0.00728,0.0002735,0.9683
/mnt/lake/VBags/140129/frame0372.jpg,0.002321,0.000828,5.543e-05,0.9966
/mnt/lake/VBags/140129/frame0370.jpg,0.002766,0.0124,0.000174,0.985
/mnt/lake/VBags/140129/frame0360.jpg,0.001123,0.00857,6.05e-05,0.99
/mnt/lake/VBags/140129/frame0405.jpg,0.00285,0.01402,6.7e-05,0.983
/mnt/lake/VBags/140129/frame0376.jpg,0.003975,0.02324,0.000235,0.9727
/mnt/lake/VBags/140129/frame0394.jpg,0.002113,0.01611,0.0001876,0.9814
/mnt/lake/VBags/140129/frame0339.jpg,0.003788,0.00923,0.0001718,0.987
/mnt/lake/VBags/140129/frame0121.jpg,0.003645,0.001472,0.000105,0.9946
/mnt/lake/VBags/140129/frame0193.jpg,0.001546,0.001672,2.205e-05,0.9966
/mnt/lake/VBags/140129/frame0012.jpg,0.0164,3.12e-05,0.000253,0.9834
/mnt/lake/VBags/140129/frame0223.jpg,0.01921,0.02585,0.0001898,0.9546
/mnt/lake/VBags/140129/frame0009.jpg,0.03207,9.745e-05,0.0004575,0.9673
/mnt/lake/VBags/140129/frame0119.jpg,0.002735,0.00829,6.235e-05,0.989
/mnt/lake/VBags/140129/frame0349.jpg,0.00688,0.003407,6.24e-05,0.9897
/mnt/lake/VBags/140129/frame0136.jpg,0.003214,0.002623,2.51e-05,0.994
/mnt/lake/VBags/140129/frame0191.jpg,0.003345,0.00896,5.496e-05,0.988
/mnt/lake/VBags/140129/frame0397.jpg,0.0008674,0.002018,2.62e-05,0.997
/mnt/lake/VBags/140205/frame0389.jpg,0.00178,0.001302,5.29e-05,0.997
